id,item,link
a3c446cb,vertebraeT2,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T2.nii.g_1.stl
28668cf9,adrenalglandright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_adrenal_gland_right.nii.g_1.stl
6e6e404b,heartatriumright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_heart_atrium_right.nii.g_1.stl
ef32c0a5,vertebraeT6,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T6.nii.g_1.stl
68211900,ribright12,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_rib_right_12.nii.g_1.stl
747e57f5,humerusleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_humerus_left.nii.g_1.stl
bed57ac8,lunglowerlobeleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_lung_lower_lobe_left.nii.g_1.stl
d92a2792,autochthonright,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_autochthon_right.nii.g_1.stl
9cfac7ce,autochthonleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_autochthon_left.nii.g_1.stl
5f14bc14,lungmiddleloberight,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0606_lung_middle_lobe_right.nii.g_1.stl
16439f90,hipleft,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0000_hip_left.nii.g_1.stl
f12d9f75,vertebraeT5,https://uni-duisburg-essen.sciebo.de/s/8wGC9bfjwGj0i1W/download?path=%2F&files=s0605_vertebrae_T5.nii.g_1.stl
